instance,n,m,sum_t,E_ub,DP_E,DP_gap,DP_c,DP_ms,DP_std,GR_E,GR_gap,GR_c,GR_ms,GR_std,GA_E_mean,GA_E_std,GA_E_best,GA_ms,ACO_E_mean,ACO_E_std,ACO_E_best,ACO_ms
MERTENS,7,3,29,0.9667,0.8788,9.09,11,0.034,0.0,0.8788,9.09,11,0.009,0.0,0.9667,0.0,0.9667,36.846,0.9667,0.0,0.9667,11.971
MERTENS,7,4,29,0.9062,0.725,20.0,10,0.024,0.0,0.6591,27.27,11,0.009,0.0,0.8056,0.0,0.8056,37.583,0.8056,0.0,0.8056,12.153
MITCHELL,21,4,105,0.9722,0.875,10.0,30,0.045,0.0,0.6908,28.95,38,0.019,0.0,0.9722,0.0,0.9722,72.478,0.9722,0.0,0.9722,31.503
MITCHELL,21,6,105,0.9722,0.875,10.0,20,0.042,0.0,0.5833,40.0,30,0.018,0.0,0.9722,0.0,0.9722,73.477,0.9722,0.0,0.9722,31.999
MITCHELL,21,8,105,0.9375,0.8203,12.5,16,0.042,0.0,0.4375,53.33,30,0.018,0.0,0.875,0.0,0.875,74.551,0.875,0.0,0.875,32.406
MUKHERJE,94,10,4208,0.9995,0.933,6.65,451,0.168,0.0,0.6081,39.16,692,0.074,0.0,0.9869,0.0054,0.9925,384.128,0.973,0.0049,0.9832,247.099
MUKHERJE,94,16,4208,1.0,0.8855,11.45,297,0.164,0.0,0.4155,58.45,633,0.075,0.0,0.9506,0.0116,0.9669,380.565,0.9464,0.0028,0.9529,248.076
MUKHERJE,94,22,4208,0.9962,0.8463,15.04,226,0.188,0.0,0.2533,74.57,755,0.078,0.0,0.9196,0.0,0.9196,377.509,0.9152,0.0044,0.9196,246.242
ROSZIEG,25,4,125,0.9766,0.9191,5.88,34,0.051,0.0,0.8446,13.51,37,0.022,0.0,0.9766,0.0,0.9766,83.602,0.9766,0.0,0.9766,38.805
ROSZIEG,25,6,125,0.9921,0.8681,12.5,24,0.05,0.0,0.6944,30.0,30,0.021,0.0,0.9876,0.0135,0.9921,86.626,0.9921,0.0,0.9921,40.026
ROSZIEG,25,8,125,0.9766,0.8681,11.11,18,0.051,0.0,0.5787,40.74,27,0.021,0.0,0.9191,0.0,0.9191,86.423,0.9651,0.023,0.9766,39.47
SAWYER30,30,4,324,1.0,0.9529,4.71,85,0.082,0.0,0.8351,16.49,97,0.028,0.0,0.9902,0.0049,1.0,101.45,0.989,0.0037,1.0,49.125
SAWYER30,30,6,324,1.0,0.931,6.9,58,0.054,0.0,0.6667,33.33,81,0.024,0.0,0.9643,0.0,0.9643,101.822,0.9524,0.0078,0.9643,49.432
SAWYER30,30,8,324,0.9878,0.8265,16.33,49,0.079,0.0,0.5473,44.59,74,0.026,0.0,0.951,0.018,0.9878,103.495,0.9247,0.0086,0.9419,50.074
SCHOLL,297,10,69655,0.9999,0.9672,3.28,7202,0.577,0.0,0.7961,20.38,8749,0.228,0.0,0.9939,0.0016,0.9971,1302.659,0.9918,0.0012,0.9945,802.589
SCHOLL,297,16,69655,0.9999,0.9393,6.06,4635,0.566,0.0,0.6063,39.36,7180,0.223,0.0,0.9838,0.0021,0.9878,1342.6,0.9794,0.0012,0.9816,820.667
SCHOLL,297,22,69655,0.9997,0.9632,3.65,3287,0.634,0.0,0.4934,50.65,6417,0.228,0.0,0.9763,0.0033,0.9833,1337.004,0.9715,0.0024,0.9748,803.848
TONGE70,70,6,3510,1.0,0.9669,3.31,605,0.121,0.0,0.7396,26.04,791,0.052,0.0,0.9902,0.0026,0.9932,250.694,0.9905,0.0008,0.9915,137.536
TONGE70,70,10,3510,1.0,0.9435,5.65,372,0.115,0.0,0.4868,51.32,721,0.051,0.0,0.9766,0.0025,0.9804,250.763,0.9683,0.0032,0.9777,137.793
TONGE70,70,14,3510,0.9989,0.8859,11.31,283,0.119,0.0,0.3126,68.7,802,0.051,0.0,0.9395,0.0128,0.9755,246.57,0.9282,0.0032,0.932,134.935
WARNECKE,58,6,1548,1.0,0.9485,5.15,272,0.108,0.0,0.7866,21.34,328,0.041,0.0,0.9919,0.0011,0.9923,191.276,0.9799,0.0044,0.9847,100.58
WARNECKE,58,10,1548,0.9987,0.8846,11.43,175,0.102,0.0,0.5432,45.61,285,0.042,0.0,0.9497,0.0,0.9497,188.076,0.9503,0.0018,0.9556,100.89
WARNECKE,58,14,1548,0.9961,0.9063,9.02,122,0.095,0.0,0.3029,69.59,365,0.042,0.0,0.9373,0.0163,0.9615,194.556,0.923,0.0031,0.9292,102.489
WEE-MAG,75,6,1499,0.9993,0.9759,2.34,256,0.118,0.0,0.8356,16.39,299,0.052,0.0,0.9934,0.002,0.9954,244.964,0.9914,0.0025,0.9954,148.433
WEE-MAG,75,10,1499,0.9993,0.9311,6.83,161,0.113,0.0,0.6406,35.9,234,0.058,0.0,0.9759,0.0058,0.9862,254.334,0.9646,0.005,0.9734,148.575
WEE-MAG,75,14,1499,0.9914,0.9151,7.69,117,0.11,0.0,0.4199,57.65,255,0.051,0.0,0.9501,0.0076,0.9646,259.366,0.945,0.0038,0.9475,150.681
